ecosystem,observation_subset,observation_subset_label,mode,degrees_of_freedom,averaging_kernel_diagonal,posterior_sd,prior_sd,uncertainty_reduction_fraction,information_gain_nats,posterior_log10_sd
Barrow,stocks_soil14c,Stocks + Soil 14C,fast,0.9992762488465319,0.9992762488465319,0.01345131177123707,0.5,0.9992762488465319,3.615531467670027,-1.8712353612206394
Barrow,stocks_soil14c,Stocks + Soil 14C,intermediate,0.9880227127555478,0.9880227127555478,0.05472039666443444,0.5,0.9880227127555478,2.2123715761496228,-1.2618507631053624
Barrow,stocks_soil14c,Stocks + Soil 14C,slow,0.961186954679974,0.961186954679974,0.09850513352108359,0.5,0.961186954679974,1.6244994346368746,-1.0065411359817282
Barrow,stocks_resp14c,Stocks + Respired 14C,fast,0.998220022978165,0.998220022978165,0.021094886950603683,0.5,0.998220022978165,3.165577411921464,-1.67582279769905
Barrow,stocks_resp14c,Stocks + Respired 14C,intermediate,0.9659421151025951,0.9659421151025951,0.09227389243091048,0.5,0.9659421151025951,1.6898468524943342,-1.034921158963849
Barrow,stocks_resp14c,Stocks + Respired 14C,slow,0.9099004361350762,0.9099004361350762,0.1500829469534462,0.5,0.9099004361350762,1.203419977473222,-0.8236686512927371
Barrow,all_observations,All observations,fast,0.9998368671651767,0.9998368671651767,0.006386173244269688,0.5,0.9998368671651767,4.360472875736275,-2.1947593040850495
Barrow,all_observations,All observations,intermediate,0.9859732900503749,0.9859732900503749,0.05921720600810423,0.5,0.9859732900503749,2.1333959567316567,-1.2275520873872483
Barrow,all_observations,All observations,slow,0.9770014400851099,0.9770014400851099,0.0758263804933516,0.5,0.9770014400851099,1.8861618387046535,-1.1201796741899035
Howland Forest,prior_only,Prior,fast,0.44001061983310996,0.44001061983310996,0.37416219082334135,0.5,0.44001061983310996,0.2899187297102286,-0.4269401001775338
Howland Forest,prior_only,Prior,intermediate,0.2903993147129549,0.2903993147129549,0.42118899715182645,0.5,0.2903993147129549,0.17152644112506757,-0.375522982545101
Howland Forest,prior_only,Prior,slow,0.1460949629217435,0.1460949629217435,0.46203491131035124,0.5,0.1460949629217435,0.07896764458856874,-0.33532520795769377
Howland Forest,stocks_only,Stocks,fast,0.9330732183575319,0.9330732183575319,0.12935105492657192,0.5,0.9330732183575319,1.3520780342256373,-0.8882300250307716
Howland Forest,stocks_only,Stocks,intermediate,0.9766601639299363,0.9766601639299363,0.07638690344238293,0.5,0.9766601639299363,1.878796837855179,-1.116981094961764
Howland Forest,stocks_only,Stocks,slow,0.9887659363828999,0.9887659363828999,0.05299543286241781,0.5,0.9887659363828999,2.2444023609903363,-1.2757615562127145
Howland Forest,soil14c_only,Soil 14C,fast,0.9999978195205759,0.9999978195205759,0.0007383223253019737,0.5,0.9999978195205759,6.5179828930019,-3.1317539992345
Howland Forest,soil14c_only,Soil 14C,intermediate,0.9884051251246015,0.9884051251246015,0.05383975036020878,0.5,0.9884051251246015,2.2285960497939286,-1.268896962480869
Howland Forest,soil14c_only,Soil 14C,slow,0.883709455143923,0.883709455143923,0.17050699755147666,0.5,0.883709455143923,1.0758317611831594,-0.7682577930020843
Howland Forest,resp14c_only,Respired 14C,fast,0.99945100499735,0.99945100499735,0.011715321193313697,0.5,0.99945100499735,3.753710609568651,-1.931245800061338
Howland Forest,resp14c_only,Respired 14C,intermediate,0.963482511405578,0.963482511405578,0.0955477480038411,0.5,0.963482511405578,1.6549819967855979,-1.0197795445171915
Howland Forest,resp14c_only,Respired 14C,slow,0.7869394696595812,0.7869394696595812,0.23079240148909735,0.5,0.7869394696595812,0.773089486821117,-0.636778493807809
Howland Forest,stocks_soil14c,Stocks + Soil 14C,fast,0.9999916968509308,0.9999916968509308,0.0014407592676388397,0.5,0.9999916968509308,5.849437854598202,-2.841408578151976
Howland Forest,stocks_soil14c,Stocks + Soil 14C,intermediate,0.9863860651923392,0.9863860651923392,0.058339383797870195,0.5,0.9863860651923392,2.1483306962963646,-1.2340381623688632
Howland Forest,stocks_soil14c,Stocks + Soil 14C,slow,0.9883019407121442,0.9883019407121442,0.054078783473409844,0.5,0.9883019407121442,2.2241661618848427,-1.2669730866065032
Howland Forest,stocks_resp14c,Stocks + Respired 14C,fast,0.9992521826191423,0.9992521826191423,0.01367312492499164,0.5,0.9992521826191423,3.599175876517982,-1.8641322182350404
Howland Forest,stocks_resp14c,Stocks + Respired 14C,intermediate,0.9920943491211568,0.9920943491211568,0.044456863583824884,0.5,0.9920943491211568,2.420088737047838,-1.352061179880067
Howland Forest,stocks_resp14c,Stocks + Respired 14C,slow,0.9819403145842783,0.9819403145842783,0.06719316448814129,0.5,0.9819403145842783,2.0070365749932777,-1.1726749051615637
Howland Forest,all_observations,All observations,fast,0.9999940279650288,0.9999940279650288,0.0012218873691133413,0.5,0.9999940279650288,6.014211411222324,-2.9129688245574052
Howland Forest,all_observations,All observations,intermediate,0.9627593702977668,0.9627593702977668,0.09648915703620956,0.5,0.9627593702977668,1.6451774587094417,-1.0155214877331067
Howland Forest,all_observations,All observations,slow,0.9600768004380767,0.9600768004380767,0.09990395332758771,0.5,0.9600768004380767,1.6103988407019427,-1.0004173258442288
Eight-mile Lake,prior_only,Prior,fast,0.5198910826925801,0.5198910826925801,0.3461330621771995,0.49954336881637573,0.5198910826925801,0.3668711448817479,-0.4607569154838772
Eight-mile Lake,prior_only,Prior,intermediate,0.3423913487996113,0.3423913487996113,0.40546536572202707,0.5,0.3423913487996113,0.20957263980417495,-0.3920462366888322
Eight-mile Lake,prior_only,Prior,slow,0.0,0.0,0.5104279409484228,0.5,0.0,-0.02064137534753752,-0.2920655602516518
Eight-mile Lake,stocks_only,Stocks,fast,0.9825400235440722,0.9825400235440722,0.06600776458025294,0.49954336881637573,0.9825400235440722,2.0239220385146672,-1.1804049748215064
Eight-mile Lake,stocks_only,Stocks,intermediate,0.9189255983370657,0.9189255983370657,0.1423678349056892,0.5,0.9189255983370657,1.256194003429984,-0.8465881195535779
Eight-mile Lake,stocks_only,Stocks,slow,0.9840826046243021,0.9840826046243021,0.06308208021240648,0.5,0.9840826046243021,2.070171359502572,-1.2000939936901012
Eight-mile Lake,soil14c_only,Soil 14C,fast,0.9997681411211647,0.9997681411211647,0.007606503405633792,0.49954336881637573,0.9997681411211647,4.18469082612906,-2.118814935951217
Eight-mile Lake,soil14c_only,Soil 14C,intermediate,0.9840385810536016,0.9840385810536016,0.06316925467820231,0.5,0.9840385810536016,2.06879039224824,-1.1994942472318557
Eight-mile Lake,soil14c_only,Soil 14C,slow,0.8903946199928617,0.8903946199928617,0.16553351624908041,0.5,0.8903946199928617,1.1054344090083053,-0.7811140596022704
Eight-mile Lake,resp14c_only,Respired 14C,fast,0.998188845848549,0.998188845848549,0.021259395241781963,0.49954336881637573,0.998188845848549,3.1568954920915706,-1.6724490938528256
Eight-mile Lake,resp14c_only,Respired 14C,intermediate,0.7956423562811696,0.7956423562811696,0.22602966825111162,0.5,0.7956423562811696,0.7939418323183768,-0.6458345523920092
