site_id,site_label,subset_key,subset_label,sample_idx,frac_loss,abs_loss,old_fraction
US-Ha1,Harvard Forest,stocks_resp14c,"Stocks+
Resp 14C",0,0.17276023847086408,1565.7708129882812,0.8674465012779955
US-Ha1,Harvard Forest,stocks_resp14c,"Stocks+
Resp 14C",1,0.17276023847086408,1565.7708129882812,0.8674465012779955
US-Ha1,Harvard Forest,stocks_resp14c,"Stocks+
Resp 14C",2,0.17366806285057595,1517.2501831054688,0.8566449965302635
US-Ha1,Harvard Forest,stocks_resp14c,"Stocks+
Resp 14C",3,0.17366806285057595,1517.2501831054688,0.8566449965302635
US-Ha1,Harvard Forest,stocks_resp14c,"Stocks+
Resp 14C",4,0.17366806285057595,1517.2501831054688,0.8566449965302635
US-Ha1,Harvard Forest,stocks_resp14c,"Stocks+
Resp 14C",5,0.17485459525710265,1463.6984252929688,0.8484179456201438
US-Ha1,Harvard Forest,all_observations,All,0,0.13653508695842698,1422.8638916015625,0.8381146475244635
US-Ha1,Harvard Forest,all_observations,All,1,0.13653508695842698,1422.8638916015625,0.8381146475244635
US-Ha1,Harvard Forest,all_observations,All,2,0.13676159268471624,1422.0568237304688,0.8359343572380419
US-Ha1,Harvard Forest,all_observations,All,3,0.13680536818700012,1420.485107421875,0.8387437390015404
US-Ha1,Harvard Forest,all_observations,All,4,0.13680536818700012,1420.485107421875,0.8387437390015404
US-Ha1,Harvard Forest,all_observations,All,5,0.13680536818700012,1420.485107421875,0.8387437390015404
US-A10,Barrow,prior_only,Prior,0,0.06676340095091916,1888.5470886230469,0.9538665308343601
US-A10,Barrow,prior_only,Prior,1,0.09111309449428596,880.893798828125,0.8630620518647717
US-A10,Barrow,prior_only,Prior,2,0.04836528922393179,2466.6810913085938,0.8912794754121632
US-A10,Barrow,prior_only,Prior,3,0.07435225458224125,917.50341796875,0.8895793949626689
US-A10,Barrow,prior_only,Prior,4,0.07742217218916764,1749.5287475585938,0.9459864110711786
US-A10,Barrow,prior_only,Prior,5,0.06975352480657027,2116.5972442626953,0.9708271793896435
US-A10,Barrow,stocks_only,Stocks,0,0.06642083245002955,2571.1671752929688,0.9191451973675042
US-A10,Barrow,stocks_only,Stocks,1,0.06736404373129247,2835.5034790039062,0.9408569187400012
US-A10,Barrow,stocks_only,Stocks,2,0.06736404373129247,2835.5034790039062,0.9408569187400012
US-A10,Barrow,stocks_only,Stocks,3,0.060834123140391744,2745.2347412109375,0.9067195475655
US-A10,Barrow,stocks_only,Stocks,4,0.060834123140391744,2745.2347412109375,0.9067195475655
US-A10,Barrow,stocks_only,Stocks,5,0.059466705711796186,2608.4776611328125,0.8775282014820812
US-A10,Barrow,soil14c_only,Pool 14C,0,0.04726303691516414,1570.0474853515625,0.6809494900798877
US-A10,Barrow,soil14c_only,Pool 14C,1,0.04726303691516414,1570.0474853515625,0.6809494900798877
US-A10,Barrow,soil14c_only,Pool 14C,2,0.04550577985462959,1505.02685546875,0.668399599387777
US-A10,Barrow,soil14c_only,Pool 14C,3,0.045761074421937706,1552.3297119140625,0.6803131150783506
US-A10,Barrow,soil14c_only,Pool 14C,4,0.044474230411012096,1574.936279296875,0.6867691314195057
US-A10,Barrow,soil14c_only,Pool 14C,5,0.04185091330057303,1488.6317138671875,0.6621483025059731
US-A10,Barrow,resp14c_only,Resp 14C,0,0.07348435872282787,2044.181396484375,0.8816445519977927
US-A10,Barrow,resp14c_only,Resp 14C,1,0.07348435872282787,2044.181396484375,0.8816445519977927
US-A10,Barrow,resp14c_only,Resp 14C,2,0.06854118833628506,2109.645751953125,0.8926786247727058
US-A10,Barrow,resp14c_only,Resp 14C,3,0.0745251150980465,2029.8753662109375,0.8840816741651895
US-A10,Barrow,resp14c_only,Resp 14C,4,0.0745251150980465,2029.8753662109375,0.8840816741651895
US-A10,Barrow,resp14c_only,Resp 14C,5,0.0745251150980465,2029.8753662109375,0.8840816741651895
US-A10,Barrow,stocks_soil14c,"Stocks+
Pool 14C",0,0.0464181874876142,1521.6995849609375,0.6782755569392646
US-A10,Barrow,stocks_soil14c,"Stocks+
Pool 14C",1,0.0464181874876142,1521.6995849609375,0.6782755569392646
US-A10,Barrow,stocks_soil14c,"Stocks+
Pool 14C",2,0.0464181874876142,1521.6995849609375,0.6782755569392646
US-A10,Barrow,stocks_soil14c,"Stocks+
Pool 14C",3,0.0464181874876142,1521.6995849609375,0.6782755569392646
US-A10,Barrow,stocks_soil14c,"Stocks+
Pool 14C",4,0.04658887338708516,1541.7593994140625,0.6777297300271101
US-A10,Barrow,stocks_soil14c,"Stocks+
Pool 14C",5,0.0477267523596171,1565.298095703125,0.6935238962919713
US-A10,Barrow,stocks_resp14c,"Stocks+
Resp 14C",0,0.05916461336178224,2083.9038696289062,0.8855918019674602
US-A10,Barrow,stocks_resp14c,"Stocks+
Resp 14C",1,0.05916461336178224,2083.9038696289062,0.8855918019674602
US-A10,Barrow,stocks_resp14c,"Stocks+
Resp 14C",2,0.05916461336178224,2083.9038696289062,0.8855918019674602
US-A10,Barrow,stocks_resp14c,"Stocks+
Resp 14C",3,0.05916461336178224,2083.9038696289062,0.8855918019674602
US-A10,Barrow,stocks_resp14c,"Stocks+
Resp 14C",4,0.05916461336178224,2083.9038696289062,0.8855918019674602
US-A10,Barrow,stocks_resp14c,"Stocks+
Resp 14C",5,0.05916461336178224,2083.9038696289062,0.8855918019674602
US-A10,Barrow,all_observations,All,0,0.04262678923663025,1212.5670166015625,0.6598854281804475
US-A10,Barrow,all_observations,All,1,0.04262678923663025,1212.5670166015625,0.6598854281804475
US-A10,Barrow,all_observations,All,2,0.04262678923663025,1212.5670166015625,0.6598854281804475
US-A10,Barrow,all_observations,All,3,0.041204300076217705,1191.1969604492188,0.6472672326365534
US-A10,Barrow,all_observations,All,4,0.041204300076217705,1191.1969604492188,0.6472672326365534
US-A10,Barrow,all_observations,All,5,0.041204300076217705,1191.1969604492188,0.6472672326365534
US-Ho1,Howland Forest,prior_only,Prior,0,0.09281036154961761,459.72161865234375,0.8514768790847652
US-Ho1,Howland Forest,prior_only,Prior,1,0.08831948855099833,1159.457275390625,0.9339754566830109
US-Ho1,Howland Forest,prior_only,Prior,2,0.06995131879712287,165.50572967529297,0.556713759803075
US-Ho1,Howland Forest,prior_only,Prior,3,0.10522783759107028,507.693603515625,0.8785783411701047
US-Ho1,Howland Forest,prior_only,Prior,4,0.08996808460143335,456.50938415527344,0.8548831408000273
US-Ho1,Howland Forest,prior_only,Prior,5,0.08165049558775417,391.28125,0.8620461091017462
US-Ho1,Howland Forest,stocks_only,Stocks,0,0.0852158195247955,540.7312927246094,0.8736377612948372
US-Ho1,Howland Forest,stocks_only,Stocks,1,0.07799286076866815,525.5890808105469,0.8681637757743392
US-Ho1,Howland Forest,stocks_only,Stocks,2,0.07799286076866815,525.5890808105469,0.8681637757743392
US-Ho1,Howland Forest,stocks_only,Stocks,3,0.08392275481230756,603.6095581054688,0.8885156786330874
US-Ho1,Howland Forest,stocks_only,Stocks,4,0.08942775152986679,589.7906494140625,0.887800175439135
US-Ho1,Howland Forest,stocks_only,Stocks,5,0.08678162848811408,622.9346313476562,0.8946867711723554
US-Ho1,Howland Forest,soil14c_only,Pool 14C,0,0.06608443990784826,845.48779296875,0.5714253491516996
US-Ho1,Howland Forest,soil14c_only,Pool 14C,1,0.0676984100769243,862.6553039550781,0.5891007688730836
US-Ho1,Howland Forest,soil14c_only,Pool 14C,2,0.0676984100769243,862.6553039550781,0.5891007688730836
US-Ho1,Howland Forest,soil14c_only,Pool 14C,3,0.0676984100769243,862.6553039550781,0.5891007688730836
US-Ho1,Howland Forest,soil14c_only,Pool 14C,4,0.06814820827228517,870.1921081542969,0.5873137017295392
US-Ho1,Howland Forest,soil14c_only,Pool 14C,5,0.06744707372993661,861.2999877929688,0.5891503055106027
US-Ho1,Howland Forest,resp14c_only,Resp 14C,0,0.09813527743092611,1247.668701171875,0.7942358664370553
US-Ho1,Howland Forest,resp14c_only,Resp 14C,1,0.10107391208815106,1261.859130859375,0.8102529327626242
US-Ho1,Howland Forest,resp14c_only,Resp 14C,2,0.10354069328760139,1316.702880859375,0.7980228609185444
