site_id,site_label,subset_key,subset_label,metric,n_valid,median,p05,p95,variance
US-Ho1,Howland Forest,stocks_only,Stocks,frac_loss,6,0.08456928716855153,0.07799286076866815,0.08876622076942861,2.1933738086638027e-05
US-Ho1,Howland Forest,stocks_only,Stocks,abs_loss,6,565.2609710693359,525.5890808105469,618.1033630371094,1820.3262669173691
US-Ho1,Howland Forest,stocks_only,Stocks,old_fraction,6,0.880718968366986,0.8681637757743392,0.8931439980375384,0.00013391502108474996
US-Ho1,Howland Forest,soil14c_only,Pool 14C,frac_loss,6,0.0676984100769243,0.06642509836337035,0.06803575872344494,5.072888229742341e-07
US-Ho1,Howland Forest,soil14c_only,Pool 14C,abs_loss,6,862.6553039550781,849.4408416748047,868.3079071044922,66.64965657244126
US-Ho1,Howland Forest,soil14c_only,Pool 14C,old_fraction,6,0.5891007688730836,0.5753974372961596,0.5891379213512229,5.056121715182074e-05
US-Ho1,Howland Forest,resp14c_only,Resp 14C,frac_loss,6,0.09981476272694337,0.09790422797011637,0.10354069328760139,7.0639158534618185e-06
US-Ho1,Howland Forest,resp14c_only,Resp 14C,abs_loss,6,1254.763916015625,1194.5957336425781,1316.702880859375,2768.3161393508317
US-Ho1,Howland Forest,resp14c_only,Resp 14C,old_fraction,6,0.7961293636777999,0.7746667250929976,0.8071954148016043,0.00019255216291326802
US-Ho1,Howland Forest,stocks_soil14c,"Stocks+
Pool 14C",frac_loss,6,0.0657385318043179,0.06523249058971484,0.06868639173138315,2.4759200702394364e-06
US-Ho1,Howland Forest,stocks_soil14c,"Stocks+
Pool 14C",abs_loss,6,839.3000030517578,831.3055725097656,877.2059326171875,422.144968946185
US-Ho1,Howland Forest,stocks_soil14c,"Stocks+
Pool 14C",old_fraction,6,0.5854929890907508,0.5814776619729563,0.6140212751597669,0.00021710929553835556
US-Ho1,Howland Forest,stocks_resp14c,"Stocks+
Resp 14C",frac_loss,6,0.07069756259193324,0.06905469611020174,0.07514162834252144,7.991268231409713e-06
US-Ho1,Howland Forest,stocks_resp14c,"Stocks+
Resp 14C",abs_loss,6,991.7207336425781,952.4595489501953,1026.8511352539062,1140.239680936436
US-Ho1,Howland Forest,stocks_resp14c,"Stocks+
Resp 14C",old_fraction,6,0.6975674846557514,0.6806685037059583,0.7205224484183549,0.00033588148598486444
US-Ho1,Howland Forest,all_observations,All,frac_loss,6,0.06677589708552645,0.06477491553123652,0.06830565749244899,2.293936208293796e-06
US-Ho1,Howland Forest,all_observations,All,abs_loss,6,856.512939453125,829.5869598388672,879.2341003417969,447.5036314096302
US-Ho1,Howland Forest,all_observations,All,old_fraction,6,0.5863388992171652,0.5749058999120852,0.5976376607620622,0.00010092611111078599
US-EML,Eight-mile Lake,prior_only,Prior,frac_loss,6,0.2001575256462645,0.09025998173202422,0.22221332136512684,0.0035660771545078856
US-EML,Eight-mile Lake,prior_only,Prior,abs_loss,6,3418.8175048828125,2146.3287658691406,4585.740386962891,1104819.8268190443
