network,tower_id,tower_name,tower_lat,tower_lon,nearest_layer_site,nearest_layer_km,nearest_layer_obs,nearest_fraction_site,nearest_fraction_km,nearest_fraction_obs,nearest_flux_site,nearest_flux_km,nearest_flux_obs,nearest_incubation_site,nearest_incubation_km,nearest_incubation_obs,nearest_interstitial_site,nearest_interstitial_km,nearest_interstitial_obs,nearest_eligible_path,nearest_eligible_site,nearest_eligible_km,nearest_fraction_path_site,nearest_fraction_path_km,nearest_pool_resp_path_site,nearest_pool_resp_path_km,eligible_within_1km,eligible_within_25km
AmeriFlux,US-GCE,Georgia Coastal Ecosystems LTER Flux Tower,31.4441,-81.2835,OSBS,206.62474831229457,1,Southern Piedmont,354.7627561705977,20,Harvard Forest,1471.6914345669948,175,Goodwin Creek,868.205913899451,6,HarvardForest,1472.312724829061,113,fraction,Southern Piedmont,354.7627561705977,Southern Piedmont,354.7627561705977,Goodwin Creek,868.205913899451,False,False
AmeriFlux,US-Slt,Silas Little- New Jersey,39.9138,-74.596,SERC,203.54684572319616,3,Harvard Forest,355.0690883359977,88,Harvard Forest,353.6880393595592,175,Harvard Forest,353.6880393595592,70,HarvardForest,354.30697811385255,113,fraction|pool+respiration,Harvard Forest,355.0690883359977,Harvard Forest,355.0690883359977,Harvard Forest,355.0690883359977,False,False
AmeriFlux,US-Sag,Sag River,69.5131,-148.5676,TOOL,99.9528697190863,3,Hess Creek,438.98231301353144,22,Barrow,356.0736458406543,49,Toolik_Lake_snowfence,105.60251440279396,20,Ikpikpuk River,261.11970036209783,1,pool+respiration,Barrow,356.0736458406543,Hess Creek,438.98231301353144,Barrow,356.0736458406543,False,False
AmeriFlux,US-Tx2,Riesel Farm Native Prairie,31.4802,-96.8827,CLBJ,223.13187766180724,7,Western Coastal Plain,358.8075556303222,20,Treynor,1082.6566822822444,9,Goodwin Creek,725.9257472738785,6,Sedgwick Reserve,2182.7620660557545,29,fraction,Western Coastal Plain,358.8075556303222,Western Coastal Plain,358.8075556303222,Goodwin Creek,725.9257472738785,False,False
AmeriFlux,US-Tx4,Riesel Farm Traditional Agriculture,31.4693,-96.8865,CLBJ,224.19127253793684,7,Western Coastal Plain,358.984904798441,20,Treynor,1083.897796261155,9,Goodwin Creek,726.8163375276864,6,Sedgwick Reserve,2182.7429752339017,29,fraction,Western Coastal Plain,358.984904798441,Western Coastal Plain,358.984904798441,Goodwin Creek,726.8163375276864,False,False
AmeriFlux,US-Tx3,Riesel Farm Aspirational Agriculture,31.4777,-96.8883,CLBJ,223.24713944574717,7,Western Coastal Plain,359.2912691449499,20,Treynor,1082.9846117019833,9,Goodwin Creek,726.5251297375702,6,Sedgwick Reserve,2182.3259254400587,29,fraction,Western Coastal Plain,359.2912691449499,Western Coastal Plain,359.2912691449499,Goodwin Creek,726.5251297375702,False,False
AmeriFlux,US-Ses,Sevilleta shrubland,34.3349,-106.7442,JORN,194.162794282291,3,Chiricahua Rhyolite,360.30298309053245,18,Chiquito,1163.9225969267216,11,Joshua_Tree,890.1850264090081,21,Sedgwick Reserve,1218.8589123930988,29,fraction,Chiricahua Rhyolite,360.30298309053245,Chiricahua Rhyolite,360.30298309053245,Joshua_Tree,890.1850264090081,False,False
AmeriFlux,US-Seg,Sevilleta grassland,34.3623,-106.702,JORN,197.42585973457807,3,Chiricahua Rhyolite,365.1555103351406,18,Chiquito,1166.542363073536,11,Joshua_Tree,894.1101818209016,21,Sedgwick Reserve,1222.416498839012,29,fraction,Chiricahua Rhyolite,365.1555103351406,Chiricahua Rhyolite,365.1555103351406,Joshua_Tree,894.1101818209016,False,False
AmeriFlux,CA-Mer,"Ontario - Eastern Peatland, Mer Bleue",45.4094,-75.5186,Hubbard_Brook_Stout_1980,295.91330518840425,3,NH Bartlett Forest,366.02688536671974,30,Harvard Forest,416.0627583253321,156,NH Bartlett Forest,366.02688536671974,6,Harvard Forest,416.0627583253321,192,fraction|pool+respiration,NH Bartlett Forest,366.02688536671974,NH Bartlett Forest,366.02688536671974,NH Bartlett Forest,366.02688536671974,False,False
AmeriFlux,US-SB2,Sweet Briar Grass,37.5607,-79.0883,MLBS,128.38990635774073,3,Atlantic Coast Flatwoods,368.5763025705491,16,Harvard Forest,805.7855815734096,175,Harvard Forest,805.7855815734096,70,HarvardForest,806.441037019143,113,fraction,Atlantic Coast Flatwoods,368.5763025705491,Atlantic Coast Flatwoods,368.5763025705491,Harvard Forest,807.1334603701683,False,False
AmeriFlux,US-SB1,Sweet Briar Land-Atmosphere Research Station,37.5734,-79.0848,MLBS,128.9143696984232,3,Atlantic Coast Flatwoods,369.69818257674075,16,Harvard Forest,804.5633433417677,175,Harvard Forest,804.5633433417677,70,HarvardForest,805.2188739070809,113,fraction,Atlantic Coast Flatwoods,369.69818257674075,Atlantic Coast Flatwoods,369.69818257674075,Harvard Forest,805.9109319527669,False,False
AmeriFlux,US-SB3,Sweet Briar Clearcut,37.5752,-79.0872,MLBS,128.7379956717985,3,Atlantic Coast Flatwoods,369.97203831287237,16,Harvard Forest,804.5694862869888,175,Harvard Forest,804.5694862869888,70,HarvardForest,805.2250450535907,113,fraction,Atlantic Coast Flatwoods,369.97203831287237,Atlantic Coast Flatwoods,369.97203831287237,Harvard Forest,805.916964984545,False,False
AmeriFlux,US-xML,NEON Mountain Lake Biological Station (MLBS),37.3783,-80.5248,MLBS,0.004175863745257359,3,Oak Ridge Reservation,371.2414186257359,12,Harvard Forest,911.8364136550591,175,Nelson Farm,905.2860713065324,5,HarvardForest,912.4961602924491,113,fraction,Oak Ridge Reservation,371.2414186257359,Oak Ridge Reservation,371.2414186257359,Nelson Farm,905.2860713065324,False,False
AmeriFlux,US-HVs,Happy Valley Wet Sedge Tundra,69.1672,-148.8569,TOOL,59.90926696533198,3,Hess Creek,400.26998518152527,22,Barrow,372.00300561699726,49,Toolik_Lake_snowfence,65.85020589485765,20,Ikpikpuk River,277.44531977465033,1,pool+respiration,Barrow,372.00300561699726,Hess Creek,400.26998518152527,Barrow,372.00300561699726,False,False
AmeriFlux,MX-Sgt,Sonoran short arid Mangrove,29.3408,-112.2796,SRER,317.40209536588657,3,Catalina CZO conifer,372.2406231775385,18,Sedgwick Reserve,943.7688081135218,9,Joshua_Tree,633.3319076787996,21,Sedgwick Reserve,943.7688081135218,29,fraction,Catalina CZO conifer,372.2406231775385,Catalina CZO conifer,372.2406231775385,Joshua_Tree,633.3319076787996,False,False
AmeriFlux,US-UTD,UFLUX Dugout Ranch,38.1038,-109.5952,MOAB,24.196246600913945,3,AZ_Mollisol,373.4737385833371,34,Chiquito,845.3587663910004,11,Joshua_Tree,774.291904293547,21,Sedgwick Reserve,1008.5726149024067,29,fraction,AZ_Mollisol,373.4737385833371,AZ_Mollisol,373.4737385833371,Joshua_Tree,774.291904293547,False,False
AmeriFlux,CA-Ca3,British Columbia - Pole sapling Douglas-fir stand,49.5346,-124.9004,LoganHill,367.7929819514206,7,Andrews Experimental Forest,624.0763605376279,12,Chiquito,1440.608845680295,11,MiddleHayden,374.3249494943776,3,Sedgwick Reserve,1696.4280214459632,29,pool+respiration,MiddleHayden,374.3249494943776,Andrews Experimental Forest,624.0763605376279,MiddleHayden,374.3249494943776,False,False
AmeriFlux,US-HVa,Happy Valley,69.1423,-148.8412,TOOL,57.54877724643135,3,Hess Creek,397.5067730158561,22,Barrow,374.3373327473724,49,Toolik_Lake_snowfence,63.65583606483171,20,Ikpikpuk River,279.8246077100842,1,pool+respiration,Barrow,374.3373327473724,Hess Creek,397.5067730158561,Barrow,374.3373327473724,False,False
