site,site_id,param_index_subset,param_name,param_label_short,obs_index,obs_block_name,obs_family,obs_label_short,obs_label_full,y_obs,y_prior,y_opt,obs_sigma,obs_variance,gain_value,abs_gain_value,rank_within_param_by_abs_gain
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,42,c_stock,C_stocks,C[2],c_stock[2],5551.34716796875,2752.367431640625,4155.62890625,1562.6807895408454,2441971.25,-1.3724026029418052e-07,1.3724026029418052e-07,49
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,43,c_stock,C_stocks,C[3],c_stock[3],4953.3837890625,1390.5198974609375,4967.63427734375,1545.2521638878231,2387804.25,-1.955569335504381e-08,1.955569335504381e-08,50
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,44,israd_soil_active_1996,pool_delta14C,israd_active_1996,israd_soil_active_1996,29.563507080078125,284.2281799316406,164.91644287109375,35.5226445576225,1261.8582763671875,-0.00010105026712867559,0.00010105026712867559,8
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,45,israd_soil_active_2007,pool_delta14C,israd_active_2007,israd_soil_active_2007,15.806249618530273,67.50889587402344,66.20610809326172,21.24855952148948,451.50128173828125,-6.2795407027376025e-06,6.2795407027376025e-06,43
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,46,israd_soil_active_2011,pool_delta14C,israd_active_2011,israd_soil_active_2011,63.67599868774414,46.45952224731445,47.23358154296875,15.0,225.0,1.7454128490206945e-06,1.7454128490206945e-06,46
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,47,israd_soil_passive_1996,pool_delta14C,israd_passive_1996,israd_soil_passive_1996,-74.4139404296875,2316.31884765625,-69.30477905273438,27.447183833512412,753.347900390625,1.2132439454342892e-05,1.2132439454342892e-05,39
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,48,israd_soil_passive_2007,pool_delta14C,israd_passive_2007,israd_soil_passive_2007,-86.4000015258789,2191.39794921875,-67.81243133544922,29.18437044082575,851.7274780273438,7.699703200685292e-06,7.699703200685292e-06,41
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,49,israd_soil_slow_2011,pool_delta14C,israd_slow_2011,israd_soil_slow_2011,1.124901533126831,399.896240234375,56.8382682800293,16.031945761887712,257.0232849121094,0.00018830376288193375,0.00018830376288193375,3
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,0,resp_14C,resp_delta14C,resp[1],resp_14C[1],136.4397430419922,401.5320739746094,139.88217163085938,15.0,225.0,-0.0009379025553846841,0.0009379025553846841,3
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,1,resp_14C,resp_delta14C,resp[2],resp_14C[2],137.98480224609375,379.51458740234375,135.53135681152344,15.0,225.0,-0.0007760207377758593,0.0007760207377758593,4
