site_name,lat,lon,layer_obs,layer_entries,layer_entry_names,fraction_obs,fraction_entries,fraction_entry_names,flux_obs,flux_entries,flux_entry_names,incubation_obs,incubation_entries,incubation_entry_names,interstitial_obs,interstitial_entries,interstitial_entry_names,has_layer,has_fraction,has_respiration,has_interstitial,eligible_fraction,eligible_pool_resp,eligible,eligibility_path
Flagstaff Basalt,35.159444,-111.740833,4,1,Heckman_2010,12,1,Heckman_2010,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Flagstaff Dolostone,35.084444,-111.609722,2,1,Heckman_2010,6,1,Heckman_2010,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Fläsch,47.0388138900752,9.48961179683413,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
GA-450-C,-23.055389125,31.2621483258,12,1,Khomo_2017,23,1,Khomo_2017,0,0,,4,1,Khomo_2017,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
GA-550-C,-25.0294766148,31.35001142602,2,1,Khomo_2017,4,1,Khomo_2017,0,0,,6,1,Khomo_2017,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
GA-740-C,-25.1441617869,31.304820266,8,1,Khomo_2017,24,1,Khomo_2017,0,0,,6,1,Khomo_2017,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
GORG,2.98,-78.18,4,1,Posada_2011,0,0,,0,0,,4,1,Posada_2011,0,0,,True,False,True,False,False,True,True,pool+respiration
GR-450-C,-23.02962842,31.269864807,2,1,Khomo_2017,4,1,Khomo_2017,0,0,,6,1,Khomo_2017,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
GR-550-C,-25.020261477,31.5002865298,5,1,Khomo_2017,7,1,Khomo_2017,0,0,,6,1,Khomo_2017,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
GR-550-S,-25.020097641,31.501051534,7,1,Khomo_2017,9,1,Khomo_2017,0,0,,5,1,Khomo_2017,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
GR-550-T,-25.020141345,31.501804108,5,1,Khomo_2017,7,1,Khomo_2017,0,0,,5,1,Khomo_2017,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
GR-740-C,-25.20153497,31.2811929881,8,1,Khomo_2017,7,1,Khomo_2017,0,0,,6,1,Khomo_2017,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
GRpp,37.0612167,-119.3722833,4,1,Rasmussen_2018,6,1,Rasmussen_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
GRrf,37.162517,-119.1995,5,1,Rasmussen_2018,4,1,Rasmussen_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Gebesee,51.1,10.91667,0,0,,9,1,Schrumpf_2013,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Goodwin Creek,34.375,-89.9083333333333,30,1,Harden_1999,0,0,,0,0,,6,1,Harden_1999,0,0,,True,False,True,False,False,True,True,pool+respiration
Grignon,48.85,1.966667,0,0,,9,1,Schrumpf_2013,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
HI_Andisol,19.945,-155.262,4,1,Heckman_2018,30,1,Heckman_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Hainich,51.06667,10.45,0,0,,9,1,Schrumpf_2013,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Harvard Forest,42.54,-72.18,8,1,Gaudinski_2001,88,2,Gaudinski_2000|Savage_unpub,156,1,Gaudinski_2001,15,2,Gaudinski_2000|Savage_unpub,192,1,Gaudinski_2001,True,True,True,True,True,True,True,fraction|pool+respiration
Haut-Intyamon,46.5276212229171,7.04763907203417,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Heidelberg,49.4,8.67,9,1,Dorr_1986,0,0,,61,1,Dorr_1986,0,0,,0,0,,True,False,True,False,False,True,True,pool+respiration
Hess Creek,65.56758,-148.92487,41,1,O'Donnell_2011,22,1,O'Donnell_2011,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Hesse,48.66667,7.083333,0,0,,9,1,Schrumpf_2013,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Hopland_Buck,39.0018333,-123.069666666666,3,1,Foley_2023,0,0,,0,0,,3,1,Foley_2023,0,0,,True,False,True,False,False,True,True,pool+respiration
Howland Forest,45.167,-68.667,38,3,Fernandez_1993a|Gaudinski_2001|Trumbore_unpub,148,2,Gaudinski_2001|Trumbore_unpub,182,1,Gaudinski_2001,47,2,Gaudinski_2001|Trumbore_unpub,60,2,Gaudinski_2001|Trumbore_unpub,True,True,True,True,True,True,True,fraction|pool+respiration
Itatinga Experimental Forest,-23.034028,-48.626222,0,0,,8,1,James_2019,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Joshua_Tree,33.83159,-116.394754,12,1,Nowinski_2021,0,0,,0,0,,21,1,Nowinski_2021,0,0,,True,False,True,False,False,True,True,pool+respiration
Judgeford,-41.1,175.0,4,1,Goh_1977,12,1,Goh_1977,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Jussy,46.2290420571949,6.28631892498732,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Kaisten,47.5428284947625,8.00878002312361,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Kellogg Biological Station,42.406,-85.4,1,1,Sollins_2009,7,1,Sollins_2009,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Kinabalu National Park,6.207,116.64,1,1,Sollins_2009,7,1,Sollins_2009,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Kivu,2.31314,28.75471,20,1,Drake_2019,0,0,,19,1,Drake_2019,0,0,,0,0,,True,False,True,False,False,True,True,pool+respiration
Kursk,51.5799327590473,36.0935456372952,22,1,Mikhailova_2018,3,1,Mikhailova_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
La Campana,-33.0285593333333,-71.0440496666667,19,1,Scheibe_2022,0,0,,0,0,,44,1,Scheibe_2022,0,0,,True,False,True,False,False,True,True,pool+respiration
Lageado Farm,-22.837222,-48.421861,0,0,,8,1,James_2019,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Laqueuille,45.63333,2.73333,0,0,,9,1,Schrumpf_2013,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
LatestPleistocene,46.48661,-122.7037,6,1,Trumbore_2021,0,0,,0,0,,4,1,Trumbore_2021,0,0,,True,False,True,False,False,True,True,pool+respiration
Lausanne,46.5832949894714,6.65883946066971,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Le Flon,46.6038747409885,6.88850475121258,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Lens,46.2680262363379,7.43600131385098,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Les Genevez (JU),47.2475447589112,7.14802760859935,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Logata,73.421871,98.45439,6,1,Gentsch_2018,9,1,Gentsch_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Londrina_2,-23.32,-51.37,3,1,Pessenda_2001,3,1,Pessenda_2001,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Losone,46.1607560776831,8.75915620195629,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Luquillo_Experimental_Forest,18.3157,-65.7487,0,0,,30,1,Hall_2015,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
M123,49.2,8.4,0,0,,11,1,Tegen_1996,0,0,,0,0,,13,1,Tegen_1996,False,True,False,True,True,False,True,fraction
M4,49.2,8.5,0,0,,5,1,Tegen_1996,0,0,,0,0,,3,1,Tegen_1996,False,True,False,True,True,False,True,fraction
MA Harvard Forest,42.5377,-72.1715,36,1,McFarlane_2013,30,1,McFarlane_2013,0,0,,7,1,Trumbore_inc_unpublished,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
MG-550-C,-25.016156497,31.4272091641,8,1,Khomo_2017,12,1,Khomo_2017,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
