network,tower_id,tower_name,tower_lat,tower_lon,nearest_layer_site,nearest_layer_km,nearest_layer_obs,nearest_fraction_site,nearest_fraction_km,nearest_fraction_obs,nearest_flux_site,nearest_flux_km,nearest_flux_obs,nearest_incubation_site,nearest_incubation_km,nearest_incubation_obs,nearest_interstitial_site,nearest_interstitial_km,nearest_interstitial_obs,nearest_eligible_path,nearest_eligible_site,nearest_eligible_km,nearest_fraction_path_site,nearest_fraction_path_km,nearest_pool_resp_path_site,nearest_pool_resp_path_km,eligible_within_1km,eligible_within_25km
NEON,GUAN,Guanica Forest NEON,17.96955,-66.8687,Susua State Forest,12.44150117731947,1,Susua State Forest,12.44150117731947,8,ZF2,2398.8574085032983,5,Luquillo,118.75822524777001,53,FLONA,2673.192940667865,33,fraction,Susua State Forest,12.44150117731947,Susua State Forest,12.44150117731947,RITA,1682.7531632164719,False,True
AmeriFlux,BR-Ma2,Manaus - ZF2 K34,-2.6091,-60.2093,ZF2,12.92566876146523,16,Pessenda_2001_Humaita IId,629.0756377622012,2,ZF2,12.92566876146523,5,Manacapuru,81.2563082341863,6,FLONA,583.5673689124309,33,pool+respiration,ZF2,12.92566876146523,Pessenda_2001_Humaita IId,629.0756377622012,ZF2,12.92566876146523,False,True
AmeriFlux,US-Goo,Goodwin Creek,34.2547,-89.8735,Goodwin Creek,13.753981198452474,30,Western Coastal Plain,479.95290292535964,20,Treynor,920.4402595101392,9,Goodwin Creek,13.753981198452474,6,HarvardForest,1790.2418198219375,113,pool+respiration,Goodwin Creek,13.753981198452474,Western Coastal Plain,479.95290292535964,Goodwin Creek,13.753981198452474,False,True
AmeriFlux,US-SuS,Maui Sugarcane Lee/Sheltered,20.7847,-156.4039,Maui,16.212286553955558,36,Maui,16.212286553955558,18,Sedgwick Reserve,3870.659547340171,9,Maui,16.212286553955558,90,Sedgwick Reserve,3870.659547340171,29,fraction|pool+respiration,Maui,16.212286553955558,Maui,16.212286553955558,Maui,16.212286553955558,False,True
NEON,TEAK,Lower Teakettle NEON,37.00583,-119.00602,TEAK,0.0,5,Trumbore Shaver,16.413017256756294,53,Musick,23.664534060305773,16,Trumbore Shaver,16.413017256756294,6,Sedgwick Reserve,273.10979107910134,29,fraction|pool+respiration,Trumbore Shaver,16.413017256756294,Trumbore Shaver,16.413017256756294,Trumbore Shaver,16.413017256756294,False,True
AmeriFlux,US-xTE,NEON Lower Teakettle (TEAK),37.0058,-119.006,TEAK,0.0037791366220650165,5,Trumbore Shaver,16.415355932757777,53,Musick,23.66666275553918,16,Trumbore Shaver,16.415355932757777,6,Sedgwick Reserve,273.10728643152106,29,fraction|pool+respiration,Trumbore Shaver,16.415355932757777,Trumbore Shaver,16.415355932757777,Trumbore Shaver,16.415355932757777,False,True
AmeriFlux,US-PFt,SE6 Pine-4 CHEESEHEAD 2019,45.9197,-90.2288,Willow Creek,17.119038735267655,23,S1_Bog_MEF,302.5743219711807,27,Dinesen,618.9112479326852,7,Willow Creek,17.119038735267655,26,TH_Young_Jack_Pine,1242.9647626000517,8,pool+respiration,Willow Creek,17.119038735267655,S1_Bog_MEF,302.5743219711807,Willow Creek,17.119038735267655,False,True
AmeriFlux,BR-Sa1,Santarem-Km67-Primary Forest,-2.8567,-54.9589,FLONA,17.872648176844883,44,Fazenda Victoria,826.5823956226067,84,FLONA,17.872648176844883,22,FLONA,17.872648176844883,44,FLONA,17.872648176844883,33,pool+respiration,FLONA,17.872648176844883,Fazenda Victoria,826.5823956226067,FLONA,17.872648176844883,False,True
NEON,LAJA,Lajas Experimental Station NEON,18.021261,-67.076889,Susua State Forest,17.921191125116987,1,Susua State Forest,17.921191125116987,8,ZF2,2411.4285203562226,5,Luquillo,138.4249726412491,53,FLONA,2689.3358956358743,33,fraction,Susua State Forest,17.921191125116987,Susua State Forest,17.921191125116987,RITA,1667.4918441307539,False,True
AmeriFlux,PR-xLA,NEON Lajas Experimental Station (LAJA),18.0212,-67.0769,Susua State Forest,17.92443416648176,1,Susua State Forest,17.92443416648176,8,ZF2,2411.4224940900967,5,Luquillo,138.42764710931974,53,FLONA,2689.3306605576186,33,fraction,Susua State Forest,17.92443416648176,Susua State Forest,17.92443416648176,RITA,1667.487125230047,False,True
