site,config_stem,biome,rung,label,added_family,n_obs_cumulative,n_obs_added_family,dfs_cumulative,dfs_increment
Harvard Forest,harvard_forest,temperate deciduous forest,5,C_stocks+bulk_14C+fraction_14C+resp_14C+fraction_12C,fraction_12C,44,4,2.8188,0.6226
Harvard Forest,harvard_forest,temperate deciduous forest,6,C_stocks+bulk_14C+fraction_14C+resp_14C+fraction_12C+ER_annual,ER_annual,44,0,2.8188,0.0
Howland Forest,howland_forest,temperate coniferous forest,1,C_stocks,C_stocks,1,1,0.9233,0.9233
Howland Forest,howland_forest,temperate coniferous forest,2,C_stocks+bulk_14C,bulk_14C,6,5,1.3498,0.4265
Howland Forest,howland_forest,temperate coniferous forest,3,C_stocks+bulk_14C+fraction_14C,fraction_14C,15,9,1.9696,0.6198
Howland Forest,howland_forest,temperate coniferous forest,4,C_stocks+bulk_14C+fraction_14C+resp_14C,resp_14C,32,17,2.2808,0.3111
Howland Forest,howland_forest,temperate coniferous forest,5,C_stocks+bulk_14C+fraction_14C+resp_14C+fraction_12C,fraction_12C,40,8,2.809,0.5282
Howland Forest,howland_forest,temperate coniferous forest,6,C_stocks+bulk_14C+fraction_14C+resp_14C+fraction_12C+ER_annual,ER_annual,40,0,2.809,0.0
MI-Coarse UMBS,mi_coarse_umbs,temperate mixed forest,1,C_stocks,C_stocks,1,1,0.3031,0.3031
MI-Coarse UMBS,mi_coarse_umbs,temperate mixed forest,2,C_stocks+bulk_14C,bulk_14C,2,1,0.3856,0.0826
MI-Coarse UMBS,mi_coarse_umbs,temperate mixed forest,3,C_stocks+bulk_14C+fraction_14C,fraction_14C,5,3,0.3864,0.0008
MI-Coarse UMBS,mi_coarse_umbs,temperate mixed forest,4,C_stocks+bulk_14C+fraction_14C+resp_14C,resp_14C,5,0,0.3864,0.0
MI-Coarse UMBS,mi_coarse_umbs,temperate mixed forest,5,C_stocks+bulk_14C+fraction_14C+resp_14C+fraction_12C,fraction_12C,8,3,1.9365,1.5501
MI-Coarse UMBS,mi_coarse_umbs,temperate mixed forest,6,C_stocks+bulk_14C+fraction_14C+resp_14C+fraction_12C+ER_annual,ER_annual,8,0,1.9365,0.0
MO Ozark BREA,mo_ozark_brea,temperate deciduous forest,1,C_stocks,C_stocks,1,1,0.6184,0.6184
MO Ozark BREA,mo_ozark_brea,temperate deciduous forest,2,C_stocks+bulk_14C,bulk_14C,2,1,0.6469,0.0285
MO Ozark BREA,mo_ozark_brea,temperate deciduous forest,3,C_stocks+bulk_14C+fraction_14C,fraction_14C,5,3,0.8924,0.2455
MO Ozark BREA,mo_ozark_brea,temperate deciduous forest,4,C_stocks+bulk_14C+fraction_14C+resp_14C,resp_14C,5,0,0.8924,0.0
MO Ozark BREA,mo_ozark_brea,temperate deciduous forest,5,C_stocks+bulk_14C+fraction_14C+resp_14C+fraction_12C,fraction_12C,8,3,2.2742,1.3818
MO Ozark BREA,mo_ozark_brea,temperate deciduous forest,6,C_stocks+bulk_14C+fraction_14C+resp_14C+fraction_12C+ER_annual,ER_annual,8,0,2.2742,0.0
NH Bartlett Forest,nh_bartlett_forest,temperate mixed forest,1,C_stocks,C_stocks,1,1,0.6252,0.6252
NH Bartlett Forest,nh_bartlett_forest,temperate mixed forest,2,C_stocks+bulk_14C,bulk_14C,2,1,0.7171,0.092
NH Bartlett Forest,nh_bartlett_forest,temperate mixed forest,3,C_stocks+bulk_14C+fraction_14C,fraction_14C,5,3,0.888,0.1709
NH Bartlett Forest,nh_bartlett_forest,temperate mixed forest,4,C_stocks+bulk_14C+fraction_14C+resp_14C,resp_14C,5,0,0.888,0.0
NH Bartlett Forest,nh_bartlett_forest,temperate mixed forest,5,C_stocks+bulk_14C+fraction_14C+resp_14C+fraction_12C,fraction_12C,8,3,2.0513,1.1633
NH Bartlett Forest,nh_bartlett_forest,temperate mixed forest,6,C_stocks+bulk_14C+fraction_14C+resp_14C+fraction_12C+ER_annual,ER_annual,8,0,2.0513,0.0
Solling,solling,temperate forest,1,C_stocks,C_stocks,1,1,0.1617,0.1617
Solling,solling,temperate forest,2,C_stocks+bulk_14C,bulk_14C,2,1,0.1635,0.0018
Solling,solling,temperate forest,3,C_stocks+bulk_14C+fraction_14C,fraction_14C,5,3,0.1635,0.0
Solling,solling,temperate forest,4,C_stocks+bulk_14C+fraction_14C+resp_14C,resp_14C,6,1,0.1867,0.0232
Solling,solling,temperate forest,5,C_stocks+bulk_14C+fraction_14C+resp_14C+fraction_12C,fraction_12C,9,3,1.8305,1.6438
Solling,solling,temperate forest,6,C_stocks+bulk_14C+fraction_14C+resp_14C+fraction_12C+ER_annual,ER_annual,9,0,1.8305,0.0
ZF2,zf2,tropical moist forest,1,C_stocks,C_stocks,1,1,0.2389,0.2389
ZF2,zf2,tropical moist forest,2,C_stocks+bulk_14C,bulk_14C,2,1,0.9544,0.7155
ZF2,zf2,tropical moist forest,3,C_stocks+bulk_14C+fraction_14C,fraction_14C,2,0,0.9544,0.0
ZF2,zf2,tropical moist forest,4,C_stocks+bulk_14C+fraction_14C+resp_14C,resp_14C,3,1,1.1143,0.1599
ZF2,zf2,tropical moist forest,5,C_stocks+bulk_14C+fraction_14C+resp_14C+fraction_12C,fraction_12C,3,0,1.1143,0.0
ZF2,zf2,tropical moist forest,6,C_stocks+bulk_14C+fraction_14C+resp_14C+fraction_12C+ER_annual,ER_annual,3,0,1.1143,0.0
