site,biome,pathway,converged,n_obs,n_14c_blocks,dfs_total,dfs_tau,ur_tau_mean,ur_tau_active,ur_tau_slow,ur_tau_passive,J_final
Harvard Forest,temperate deciduous forest,fraction,True,23,5,1.2899115048351022,0.9299044087529182,0.17710346942745772,0.32641336096595064,0.15333699701506143,0.05156005030136113,94.49824523925781
MO Ozark BREA,temperate deciduous forest,combined,True,8,4,1.0018600523475665,0.6859646216034889,0.1291664390402291,0.2891823167425547,0.032208855691832516,0.06610814468630011,50.69770050048828
MO Ozark BREA,temperate deciduous forest,fraction,True,7,3,0.9340316653254284,0.6525951325893402,0.12288537443144835,0.2849415752299287,0.045099349021754054,0.03861519904266231,29.843801498413086
Appi forest,temperate forest,bulk_resp,True,15,11,1.4281983375564589,1.0276670455932617,0.1919029479326471,0.2859290709878263,0.14701007473087568,0.14276969807923934,95.61817169189453
Appi forest,temperate forest,combined,True,15,11,1.1165837086752437,0.8756026327610016,0.16262555569722403,0.27688085586426314,0.08071840705000066,0.1302774041774083,97.86485290527344
Solling,temperate forest,bulk_resp,True,5,2,1.2957734391099527,0.8304734900593758,0.15429429527048769,0.26279665399225105,0.044307321383994513,0.15577891043521752,584.2252197265625
Solling,temperate forest,combined,True,8,5,0.2977611459796707,0.23371225036680698,0.04092412814784585,0.10829101407423869,0.0077860978402855,0.006695272529013363,668.8336181640625
Solling,temperate forest,fraction,True,6,3,0.6290425658230567,0.48555920645594597,0.08797354756621896,0.20043662035330057,0.038526234969312734,0.024957787376043594,582.07373046875
MI-Coarse UMBS,temperate mixed forest,combined,True,5,4,0.721563851461157,0.41196870617568493,0.07273329152485115,0.012827262300483033,0.14254573109847646,0.06282688117559398,1.6892274618148804
MI-Coarse UMBS,temperate mixed forest,fraction,True,4,3,0.46521362196673866,0.19384667556732893,0.033013139301499184,0.007686142444428001,0.045260717669379,0.04609255779069055,0.013239188119769096
NH Bartlett Forest,temperate mixed forest,combined,True,19,4,0.773648969829353,0.45229170471429825,0.07878623923087902,0.11225298705800946,0.06992050228676805,0.05418522834785955,55.06053161621094
NH Bartlett Forest,temperate mixed forest,fraction,True,18,3,0.6558787822726184,0.37997470796108246,0.06571704391561776,0.09511020398791747,0.05715864989989561,0.0448822778590402,53.18696975708008
Auchencorth Moss,temperate peatland,bulk_resp,True,7,3,1.1405667737140996,0.9193650484085083,0.19680044715596004,0.507648222954514,0.028987726513048373,0.053765392000317824,35.814083099365234
Auchencorth Moss,temperate peatland,combined,True,7,3,0.9566166461457191,0.826351082418114,0.17671898438109354,0.4814790208640909,0.00247630116403752,0.046201631115152186,38.75713348388672
Fazenda Victoria,tropical Oxisol forest-pasture mosaic,combined,True,6,4,0.7822313681248899,0.4339507147669792,0.0757579458512813,0.029687910341113066,0.10867935712091026,0.08890657009182057,38.268211364746094
Baram Basin,tropical moist forest,bulk_resp,True,4,3,1.143964309245971,0.7009074576199055,0.12755981935702934,0.02740552248113437,0.16045700845386368,0.19481692713609,0.7824275493621826
Baram Basin,tropical moist forest,combined,True,4,3,1.143964309245971,0.7009074576199055,0.12755981935702934,0.02740552248113437,0.16045700845386368,0.19481692713609,0.7824275493621826
FLONA,tropical moist forest,bulk_resp,True,5,4,1.5918676257165334,0.9682486951351166,0.18011924319003636,0.1730014977451404,0.09689719679499487,0.2704590350299738,9.248502731323242
FLONA,tropical moist forest,combined,True,5,4,1.5065881907969134,0.9061039984226227,0.16805623941919945,0.14964211649179404,0.08507910710836109,0.2694474946574432,9.633866310119629
ZF2,tropical moist forest,bulk_resp,True,3,2,1.216721922160834,0.7363053262233734,0.13221493566744588,0.08185465461935681,0.1381894379292523,0.1766007144537285,1.7901134490966797
ZF2,tropical moist forest,combined,True,3,2,1.0960610806955524,0.6693947017192841,0.11963709469209168,0.06846692848044533,0.11728229862898942,0.17316205696684028,2.3470942974090576
EML,tundra/permafrost,bulk_resp,True,27,13,2.459634035825958,1.4225237369537354,0.27783298726556027,0.23042522108160923,0.2325093947746384,0.3705643459404332,197.66171264648438
EML,tundra/permafrost,combined,True,27,13,2.459634035825958,1.4225237369537354,0.27783298726556027,0.23042522108160923,0.2325093947746384,0.3705643459404332,197.66171264648438
