ecosystem,observation_subset,draw,year,carbon_loss,excess_respiration,slow_excess_respiration,slow_fraction_of_excess_respiration
Harvard Forest,soil14c_only,9,100,1944.7138061523438,1944.9136279264935,775.4844868895311,0.3987243833117097
Harvard Forest,soil14c_only,10,100,1930.2044067382812,1930.510718972056,718.6949200667509,0.3722822738065066
Harvard Forest,soil14c_only,11,100,1930.2044067382812,1930.510718972056,718.6949200667509,0.3722822738065066
Harvard Forest,resp14c_only,0,100,1527.3047485351562,1527.6509488739327,249.74082708881429,0.16348029454824356
Harvard Forest,resp14c_only,1,100,1527.3047485351562,1527.6509488739327,249.74082708881429,0.16348029454824356
Harvard Forest,resp14c_only,2,100,1481.0718383789062,1481.3767505064602,183.47580577526742,0.12385492462504209
Harvard Forest,resp14c_only,3,100,1481.0718383789062,1481.3767505064602,183.47580577526742,0.12385492462504209
Harvard Forest,resp14c_only,4,100,1481.0718383789062,1481.3767505064602,183.47580577526742,0.12385492462504209
Harvard Forest,resp14c_only,5,100,1481.0718383789062,1481.3767505064602,183.47580577526742,0.12385492462504209
Harvard Forest,resp14c_only,6,100,1500.8488159179688,1501.2583015990228,206.62300821616805,0.13763321608019713
Harvard Forest,resp14c_only,7,100,1553.48095703125,1553.7019734813834,226.77278292413337,0.1459564233004114
Harvard Forest,resp14c_only,8,100,1553.48095703125,1553.7019734813834,226.77278292413337,0.1459564233004114
Harvard Forest,resp14c_only,9,100,1546.5798950195312,1546.9733886550732,240.79569039342482,0.15565600039362715
Harvard Forest,resp14c_only,10,100,1546.5798950195312,1546.9733886550732,240.79569039342482,0.15565600039362715
Harvard Forest,resp14c_only,11,100,1553.9405517578125,1554.3147317753974,256.35327835021417,0.1649300962729715
Harvard Forest,stocks_soil14c,0,100,1567.2719116210938,1567.9067593603302,411.3971552240607,0.2623862374264534
Harvard Forest,stocks_soil14c,1,100,1561.4833984375,1561.5325415815907,429.44743709312047,0.27501664272597015
Harvard Forest,stocks_soil14c,2,100,1561.4833984375,1561.5325415815907,429.44743709312047,0.27501664272597015
Harvard Forest,stocks_soil14c,3,100,1612.16650390625,1611.9005389051067,477.93563470712206,0.29650442019937706
Harvard Forest,stocks_soil14c,4,100,1599.3868408203125,1599.5615470369958,438.6266931208902,0.27421682768843486
Harvard Forest,stocks_soil14c,5,100,1660.1272583007812,1660.1968837010377,524.4530072099355,0.31589807953426874
Harvard Forest,stocks_soil14c,6,100,1660.1272583007812,1660.1968837010377,524.4530072099355,0.31589807953426874
Harvard Forest,stocks_soil14c,7,100,1672.6502685546875,1672.6667940194147,510.6488661317471,0.30529025144611077
Harvard Forest,stocks_soil14c,8,100,1672.6502685546875,1672.6667940194147,510.6488661317471,0.30529025144611077
Harvard Forest,stocks_soil14c,9,100,1646.9468383789062,1647.0396795927077,469.0298388715687,0.28477142638576497
Harvard Forest,stocks_soil14c,10,100,1693.9055786132812,1694.248463738444,517.3704884933957,0.30536872221904915
Harvard Forest,stocks_soil14c,11,100,1729.0621948242188,1729.5918667803207,580.9584652455933,0.335893384100529
Harvard Forest,stocks_resp14c,0,100,1559.8646240234375,1560.1265975775923,468.5705827191132,0.3003413847611229
Harvard Forest,stocks_resp14c,1,100,1493.8470458984375,1494.179052181107,411.49512919074164,0.2753988075191306
Harvard Forest,stocks_resp14c,2,100,1493.8470458984375,1494.179052181107,411.49512919074164,0.2753988075191306
Harvard Forest,stocks_resp14c,3,100,1509.3126220703125,1509.6668482419245,417.7627611968619,0.27672513421313155
Harvard Forest,stocks_resp14c,4,100,1509.3126220703125,1509.6668482419245,417.7627611968619,0.27672513421313155
Harvard Forest,stocks_resp14c,5,100,1452.90673828125,1452.8481108349488,383.730604330548,0.26412300189454685
Harvard Forest,stocks_resp14c,6,100,1439.6055908203125,1440.0347888111469,377.2646059465919,0.2619829804653895
Harvard Forest,stocks_resp14c,7,100,1439.6055908203125,1440.0347888111469,377.2646059465919,0.2619829804653895
Harvard Forest,stocks_resp14c,8,100,1470.4888916015625,1470.6803931795807,392.5376897897172,0.26690890258015804
Harvard Forest,stocks_resp14c,9,100,1470.4888916015625,1470.6803931795807,392.5376897897172,0.26690890258015804
Harvard Forest,stocks_resp14c,10,100,1506.1563720703125,1506.6289800965048,386.76132721316094,0.2567064169895282
Harvard Forest,stocks_resp14c,11,100,1489.1839599609375,1489.6917273771971,377.1929315994505,0.25320200459429915
Harvard Forest,all_observations,0,100,1406.341064453125,1406.7821740035652,295.02108763107935,0.20971341056410892
Harvard Forest,all_observations,1,100,1406.341064453125,1406.7821740035652,295.02108763107935,0.20971341056410892
Harvard Forest,all_observations,2,100,1363.0264282226562,1363.8130152794702,290.70483414120827,0.2131559318501133
Harvard Forest,all_observations,3,100,1363.0264282226562,1363.8130152794702,290.70483414120827,0.2131559318501133
Harvard Forest,all_observations,4,100,1368.9904174804688,1369.5169080364667,275.6302126334823,0.20126090522581777
Harvard Forest,all_observations,5,100,1368.9904174804688,1369.5169080364667,275.6302126334823,0.20126090522581777
Harvard Forest,all_observations,6,100,1385.7808227539062,1386.2872822018562,298.7908604126734,0.21553314687998898
Harvard Forest,all_observations,7,100,1423.3125610351562,1423.9606216568184,351.2011216918229,0.24663682151771196
Harvard Forest,all_observations,8,100,1401.109130859375,1401.5920105846974,308.81130551932733,0.2203289567771591
Harvard Forest,all_observations,9,100,1375.9484252929688,1376.5212370315614,314.07536404455027,0.22816601414871526
Harvard Forest,all_observations,10,100,1375.146728515625,1375.5808229948825,306.4007324388467,0.22274280603284233
Harvard Forest,all_observations,11,100,1388.1509399414062,1388.667610263663,297.3922892138636,0.21415656778903228
Barrow,prior_only,0,100,1323.2872314453125,1322.9784231328442,56.88781428920838,0.042999805056908404
Barrow,prior_only,1,100,767.1566619873047,766.9112948738605,52.53719523425909,0.06850491782481867
Barrow,prior_only,2,100,1185.6571807861328,1186.1019155274507,114.83012195311596,0.09681303136758856
Barrow,prior_only,3,100,1016.0219116210938,1016.0182931980318,71.73665701389298,0.07060567461644199
Barrow,prior_only,4,100,2144.4041748046875,2143.3803080250373,55.11952882866328,0.025716168345062268
Barrow,prior_only,5,100,768.5112609863281,768.4980230730459,13.922278407814023,0.018116218896884147
Barrow,prior_only,6,100,1441.7882385253906,1442.0232550571736,83.65110032656014,0.0580095362770301
Barrow,prior_only,7,100,1315.9847412109375,1316.3938605766216,109.49363312449023,0.08317695516790742
Barrow,prior_only,8,100,278.8626480102539,278.76237467541586,23.440928981217745,0.08408928575282727
Barrow,prior_only,9,100,1932.7771606445312,1933.056032367285,100.84273610740618,0.05216751838481929
Barrow,prior_only,10,100,2061.5587158203125,2059.8393228218592,272.73361324376054,0.13240528531620196
Barrow,prior_only,11,100,1583.5795593261719,1583.524035825862,147.5341714862128,0.09316825520066621
Barrow,stocks_only,0,100,2412.8780517578125,2413.540311845866,94.46900802779841,0.03914125965252633
