ecosystem,model_source,draw_or_member,mode,turnover_time_years,carbon_stock,baseline_respiration,warm_respiration,cumulative_carbon_loss,slow_carbon_fraction_of_excess_respiration
Barrow,observation_constrained,3,fast,5.084861011422059,4505.0322265625,71.95619851471457,71.95619851471457,3671.3060913085938,0.0
Barrow,observation_constrained,3,intermediate,23.80783300329322,4221.7158203125,14.961706927899586,14.961706927899586,1697.306640625,0.0
Barrow,observation_constrained,3,slow,2065.040812898827,21048.193359375,0.5022835640108663,0.5022835640108663,10.46484375,0.06660672086368688
Barrow,observation_constrained,4,fast,5.084861011422059,4505.0322265625,71.95619851471457,71.95619851471457,3671.3060913085938,0.0
Barrow,observation_constrained,4,intermediate,23.80783300329322,4221.7158203125,14.961706927899586,14.961706927899586,1697.306640625,0.0
Barrow,observation_constrained,4,slow,2065.040812898827,21048.193359375,0.5022835640108663,0.5022835640108663,10.46484375,0.06660672086368688
Barrow,observation_constrained,5,fast,5.14664245088797,4559.76904296875,72.63529883979238,72.63529883979238,3713.8700561523438,0.0
Barrow,observation_constrained,5,intermediate,23.281889347946507,3973.89892578125,14.455124820636936,14.455124820636936,1617.255859375,0.0
Barrow,observation_constrained,5,slow,2295.037983028321,21146.083984375,0.4540487636382575,0.4540487636382575,10.869140625,0.06163965250921456
Barrow,observation_constrained,6,fast,5.142496675049638,4556.095703125,72.59186603617394,72.59186603617394,3711.0176391601562,0.0
Barrow,observation_constrained,6,intermediate,23.74158158255186,4062.43701171875,14.401271687064398,14.401271687064398,1631.774658203125,0.0
Barrow,observation_constrained,6,slow,2118.453894355951,21691.111328125,0.5045746914957623,0.5045746914957623,10.404296875,0.067895717487941
Barrow,observation_constrained,7,fast,5.142496675049638,4556.095703125,72.59186603617394,72.59186603617394,3711.0176391601562,0.0
Barrow,observation_constrained,7,intermediate,23.74158158255186,4062.43701171875,14.401271687064398,14.401271687064398,1631.774658203125,0.0
Barrow,observation_constrained,7,slow,2118.453894355951,21691.111328125,0.5045746914957623,0.5045746914957623,10.404296875,0.067895717487941
Barrow,observation_constrained,8,fast,5.142496675049638,4556.095703125,72.59186603617394,72.59186603617394,3711.0176391601562,0.0
Barrow,observation_constrained,8,intermediate,23.74158158255186,4062.43701171875,14.401271687064398,14.401271687064398,1631.774658203125,0.0
Barrow,observation_constrained,8,slow,2118.453894355951,21691.111328125,0.5045746914957623,0.5045746914957623,10.404296875,0.067895717487941
Barrow,observation_constrained,9,fast,5.203643286592911,4610.26953125,74.48772707563595,74.48772707563595,3753.0109252929688,0.0
Barrow,observation_constrained,9,intermediate,26.90843277823973,4103.271484375,12.758281774141675,12.758281774141675,1505.34912109375,0.0
Barrow,observation_constrained,9,slow,2154.7717867313836,21480.130859375,0.4912451537476586,0.4912451537476586,7.5,0.06809618646936506
Barrow,observation_constrained,10,fast,5.143511958529441,4556.9951171875,73.55987941987718,73.55987941987718,3711.7160034179688,0.0
Barrow,observation_constrained,10,intermediate,27.15692804385057,4387.98388671875,13.573059196804369,13.573059196804369,1604.0712890625,0.0
Barrow,observation_constrained,10,slow,2161.322631870512,21516.43359375,0.4905839374774719,0.4905839374774719,7.2734375,0.06614381845306906
Barrow,observation_constrained,11,fast,5.148419533522581,4561.34326171875,72.8543530112414,72.8543530112414,3715.0901489257812,0.0
Barrow,observation_constrained,11,intermediate,25.347512111087493,4271.8291015625,14.22543501717851,14.22543501717851,1639.453125,0.0
Barrow,observation_constrained,11,slow,2285.8484900679427,21992.76171875,0.47412707989618313,0.47412707989618313,8.9375,0.06339930415007478
Barrow,CESM,0,fast,0.31352829933166504,277.7765808105469,65.03739149448401,102.58004653301981,229.0892219543457,0.0
Barrow,CESM,0,intermediate,6.664351463317871,1255.72265625,15.864577228147855,31.124300748554706,990.7571411132812,0.0
Barrow,CESM,0,slow,2534.4296875,28512.87109375,0.5543993295926837,1.6475581886260338,102.869140625,0.28803434931064426
Howland Forest,observation_constrained,0,fast,8.726271863849737,5971.73193359375,291.8557754185612,291.8557754185612,4399.4039306640625,0.0
Howland Forest,observation_constrained,0,intermediate,21.463812251152355,1950.2254638671875,37.64145292570943,37.64145292570943,1475.3815307617188,0.0
Howland Forest,observation_constrained,0,slow,315.1985322045035,4859.66162109375,7.693187002336689,7.693187002336689,487.6015625,0.30518984746726896
Howland Forest,observation_constrained,1,fast,8.726271863849737,5971.73193359375,291.8557754185612,291.8557754185612,4399.4039306640625,0.0
Howland Forest,observation_constrained,1,intermediate,21.463812251152355,1950.2254638671875,37.64145292570943,37.64145292570943,1475.3815307617188,0.0
Howland Forest,observation_constrained,1,slow,315.1985322045035,4859.66162109375,7.693187002336689,7.693187002336689,487.6015625,0.30518984746726896
Howland Forest,observation_constrained,2,fast,8.726271863849737,5971.73193359375,291.8557754185612,291.8557754185612,4399.4039306640625,0.0
Howland Forest,observation_constrained,2,intermediate,21.463812251152355,1950.2254638671875,37.64145292570943,37.64145292570943,1475.3815307617188,0.0
Howland Forest,observation_constrained,2,slow,315.1985322045035,4859.66162109375,7.693187002336689,7.693187002336689,487.6015625,0.30518984746726896
Howland Forest,observation_constrained,3,fast,8.729484755418373,5973.9306640625,293.085315819098,293.085315819098,4401.2012939453125,0.0
Howland Forest,observation_constrained,3,intermediate,22.028223550167215,1946.502197265625,36.8107851735858,36.8107851735858,1465.4971923828125,0.0
Howland Forest,observation_constrained,3,slow,334.21963230294807,4874.85498046875,7.27803580993165,7.27803580993165,458.609375,0.2935380661072722
Howland Forest,observation_constrained,4,fast,8.729484755418373,5973.9306640625,293.085315819098,293.085315819098,4401.2012939453125,0.0
Howland Forest,observation_constrained,4,intermediate,22.028223550167215,1946.502197265625,36.8107851735858,36.8107851735858,1465.4971923828125,0.0
Howland Forest,observation_constrained,4,slow,334.21963230294807,4874.85498046875,7.27803580993165,7.27803580993165,458.609375,0.2935380661072722
Howland Forest,observation_constrained,5,fast,8.752266890524055,5989.52099609375,297.3922486949761,297.3922486949761,4413.959716796875,0.0
Howland Forest,observation_constrained,5,intermediate,24.493351515692087,1950.3714599609375,32.86366140949355,32.86366140949355,1436.3798217773438,0.0
Howland Forest,observation_constrained,5,slow,355.203696325894,4888.376953125,6.867072913083579,6.867072913083579,416.29638671875,0.2803916903045119
Howland Forest,observation_constrained,6,fast,8.747744087342015,5986.42626953125,298.86459057313573,298.86459057313573,4411.4310302734375,0.0
Howland Forest,observation_constrained,6,intermediate,25.54638820121473,1957.6292724609375,32.25218415053213,32.25218415053213,1427.75927734375,0.0
Howland Forest,observation_constrained,6,slow,407.28188376572126,4883.19677734375,5.982649755615801,5.982649755615801,359.2265625,0.2526754335067345
Howland Forest,observation_constrained,7,fast,8.747744087342015,5986.42626953125,298.86459057313573,298.86459057313573,4411.4310302734375,0.0
Howland Forest,observation_constrained,7,intermediate,25.54638820121473,1957.6292724609375,32.25218415053213,32.25218415053213,1427.75927734375,0.0
Howland Forest,observation_constrained,7,slow,407.28188376572126,4883.19677734375,5.982649755615801,5.982649755615801,359.2265625,0.2526754335067345
Howland Forest,observation_constrained,8,fast,8.747076712891646,5985.9697265625,300.49736429937343,300.49736429937343,4411.0565185546875,0.0
