ecosystem,observation_subset,observation_subset_label,draw,q10,delta_temperature_c,year,mode,control_carbon,warm_carbon,control_respiration,warm_respiration,cumulative_control_respiration,cumulative_warm_respiration
Harvard Forest,all_observations,All observations,7,2.0,4.0,10,fast,1035.4644775390625,750.3993530273438,2628.8604418516825,2848.9334320799,2628.8604418516825,2848.9334320799
Harvard Forest,all_observations,All observations,7,2.0,4.0,50,fast,1106.538330078125,807.6250610351562,13577.778703828966,13808.914424586721,13577.778703828966,13808.914424586721
Harvard Forest,all_observations,All observations,7,2.0,4.0,100,fast,1105.635498046875,806.7528686523438,27053.909889671508,27285.466984620292,27053.909889671508,27285.466984620292
Harvard Forest,all_observations,All observations,7,2.0,4.0,10,intermediate,4173.88818359375,4000.687255859375,687.8217770473938,891.460611294302,687.8217770473938,891.460611294302
Harvard Forest,all_observations,All observations,7,2.0,4.0,50,intermediate,4154.80419921875,3447.399658203125,3459.3596139252427,4122.832652391202,3459.3596139252427,4122.832652391202
Harvard Forest,all_observations,All observations,7,2.0,4.0,100,intermediate,4123.78662109375,3208.686279296875,6877.090389198551,7718.292794214762,6877.090389198551,7718.292794214762
Harvard Forest,all_observations,All observations,7,2.0,4.0,10,slow,4931.43212890625,4928.26611328125,116.50538362299449,153.7174194230792,116.50538362299449,153.7174194230792
Harvard Forest,all_observations,All observations,7,2.0,4.0,50,slow,4925.1572265625,4852.15966796875,589.5077999090674,774.2896541454461,589.5077999090674,774.2896541454461
Harvard Forest,all_observations,All observations,7,2.0,4.0,100,slow,4912.70654296875,4703.376953125,1177.845769593678,1529.0468912855008,1177.845769593678,1529.0468912855008
Harvard Forest,all_observations,All observations,8,2.0,4.0,10,fast,1033.208251953125,748.6318969726562,2628.4415310624877,2848.104841946898,2628.4415310624877,2848.104841946898
Harvard Forest,all_observations,All observations,8,2.0,4.0,50,fast,1104.20703125,805.8937377929688,13575.869865210454,13806.514661444991,13575.869865210454,13806.514661444991
Harvard Forest,all_observations,All observations,8,2.0,4.0,100,fast,1103.304443359375,805.021728515625,27050.103102519002,27281.169140632664,27050.103102519002,27281.169140632664
Harvard Forest,all_observations,All observations,8,2.0,4.0,10,intermediate,4188.33056640625,4014.90771484375,703.1421547639884,911.3510660899083,703.1421547639884,911.3510660899083
Harvard Forest,all_observations,All observations,8,2.0,4.0,50,intermediate,4169.1787109375,3460.342041015625,3536.4564810723064,4215.546472921992,3536.4564810723064,4215.546472921992
Harvard Forest,all_observations,All observations,8,2.0,4.0,100,intermediate,4138.02001953125,3220.324951171875,7030.382749423967,7892.097416375671,7030.382749423967,7892.097416375671
Harvard Forest,all_observations,All observations,8,2.0,4.0,10,slow,4943.294921875,4940.41064453125,101.50281582775389,133.92579954858468,101.50281582775389,133.92579954858468
Harvard Forest,all_observations,All observations,8,2.0,4.0,50,slow,4937.833984375,4873.81982421875,513.6366279148676,675.0798973837257,513.6366279148676,675.0798973837257
Harvard Forest,all_observations,All observations,8,2.0,4.0,100,slow,4926.86865234375,4741.7373046875,1026.3751156706694,1335.1864211899967,1026.3751156706694,1335.1864211899967
Harvard Forest,all_observations,All observations,9,2.0,4.0,10,fast,1030.7862548828125,746.7339477539062,2695.587958890271,2920.4498507627272,2695.587958890271,2920.4498507627272
Harvard Forest,all_observations,All observations,9,2.0,4.0,50,fast,1101.706787109375,804.0364379882812,13922.979348941739,14159.00115680984,13922.979348941739,14159.00115680984
Harvard Forest,all_observations,All observations,9,2.0,4.0,100,fast,1100.804443359375,803.1646118164062,27741.701724329745,27978.16188094879,27741.701724329745,27978.16188094879
Harvard Forest,all_observations,All observations,9,2.0,4.0,10,intermediate,4186.58349609375,4026.6376953125,632.0842946394048,820.4344333994629,632.0842946394048,820.4344333994629
Harvard Forest,all_observations,All observations,9,2.0,4.0,50,intermediate,4166.74169921875,3490.794189453125,3180.078606209729,3814.851845482437,3180.078606209729,3814.851845482437
Harvard Forest,all_observations,All observations,9,2.0,4.0,100,intermediate,4134.78564453125,3236.6259765625,6322.649676530567,7148.635392898532,6322.649676530567,7148.635392898532
