ecosystem,observation_subset,observation_subset_label,mode,degrees_of_freedom,averaging_kernel_diagonal,posterior_sd,prior_sd,uncertainty_reduction_fraction,information_gain_nats
Eight-mile Lake,soil14c_only,Soil 14C,fast,0.9997681411211647,0.9997681411211647,0.007606503405633792,0.49954336881637573,0.9997681411211647,4.18469082612906
Eight-mile Lake,soil14c_only,Soil 14C,intermediate,0.9840385810536016,0.9840385810536016,0.06316925467820231,0.5,0.9840385810536016,2.06879039224824
Eight-mile Lake,soil14c_only,Soil 14C,slow,0.8903946199928617,0.8903946199928617,0.16553351624908041,0.5,0.8903946199928617,1.1054344090083053
Eight-mile Lake,resp14c_only,Respired 14C,fast,0.998188845848549,0.998188845848549,0.021259395241781963,0.49954336881637573,0.998188845848549,3.1568954920915706
Eight-mile Lake,resp14c_only,Respired 14C,intermediate,0.7956423562811696,0.7956423562811696,0.22602966825111162,0.5,0.7956423562811696,0.7939418323183768
Eight-mile Lake,resp14c_only,Respired 14C,slow,0.6436906243931189,0.6436906243931189,0.29845827832667043,0.5,0.6436906243931189,0.515977946458357
Eight-mile Lake,stocks_soil14c,Stocks + Soil 14C,fast,0.9999431436358689,0.9999431436358689,0.003766714815215681,0.49954336881637573,0.9999431436358689,4.887491199007683
Eight-mile Lake,stocks_soil14c,Stocks + Soil 14C,intermediate,0.9721174088684454,0.9721174088684454,0.08349040533431747,0.5,0.9721174088684454,1.7898763793434411
Eight-mile Lake,stocks_soil14c,Stocks + Soil 14C,slow,0.8947723942988715,0.8947723942988715,0.1621940240122371,0.5,0.8947723942988715,1.1258148007473727
Eight-mile Lake,stocks_resp14c,Stocks + Respired 14C,fast,0.999788631136854,0.999788631136854,0.007262626401329876,0.49954336881637573,0.999788631136854,4.230952892092063
Eight-mile Lake,stocks_resp14c,Stocks + Respired 14C,intermediate,0.8134563501354243,0.8134563501354243,0.2159534960729831,0.5,0.8134563501354243,0.8395450098759403
Eight-mile Lake,stocks_resp14c,Stocks + Respired 14C,slow,0.9486624322686247,0.9486624322686247,0.11328897533671946,0.5,0.9486624322686247,1.4846662401825215
Eight-mile Lake,all_observations,All observations,fast,0.9999934839963964,0.9999934839963964,0.001275157578150155,0.49954336881637573,0.9999934839963964,5.9706246570971
Eight-mile Lake,all_observations,All observations,intermediate,0.9805800767153707,0.9805800767153707,0.06967769242130016,0.5,0.9805800767153707,1.9707278832274062
Eight-mile Lake,all_observations,All observations,slow,0.9287151891687389,0.9287151891687389,0.13349607749973516,0.5,0.9287151891687389,1.3205360030380033
